consequence	context	n	ct_frac
stop_gained	non-CpG	550684	0.5892181359908768
stop_gained&NMD_transcript_variant	CpG	707	0.6336633663366337
stop_gained&NMD_transcript_variant	non-CpG	2061	0.6098981077147017
stop_gained&splice_region_variant	CpG	4376	0.5623857404021938
stop_gained&splice_region_variant	non-CpG	23222	0.5883214193437257
stop_gained&splice_region_variant&NMD_transcript_variant	CpG	8	0.75
stop_gained&splice_region_variant&NMD_transcript_variant	non-CpG	113	0.5486725663716814
stop_gained&splice_region_variant&splice_polypyrimidine_tract_variant	CpG	1	1
stop_lost	CpG	2	0.5
stop_lost	non-CpG	6210	0.0012882447665056361
stop_lost&NMD_transcript_variant	non-CpG	58	0
stop_lost&splice_region_variant	non-CpG	41	0
stop_lost&splice_region_variant&NMD_transcript_variant	non-CpG	5	0
stop_retained_variant	CpG	2	0.5
stop_retained_variant	non-CpG	8429	0.9998813619646458
stop_retained_variant&NMD_transcript_variant	non-CpG	65	1
synonymous_variant	CpG	1902408	0.6405571254956876
synonymous_variant	non-CpG	5621919	0.7548648424141294
synonymous_variant&NMD_transcript_variant	CpG	6058	0.6368438428524266
synonymous_variant&NMD_transcript_variant	non-CpG	19257	0.7606584618580257
upstream_gene_variant	CpG	4145517	0.5654163280478647
upstream_gene_variant	non-CpG	13216847	0.5397763929627089
